,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Districts,Ward,Male Population,Female Population,Total Population
Makonde,Ward 16,3289,3212,6501
Makonde,Ward 17,3116,3113,6229
Makonde,Ward 18,3151,3102,6253
Makonde,Ward 19,6675,6469,13144
Makonde,Total,106296,103651,209947
Zvimba,Ward 01,2403,2722,5125
Zvimba,Ward 02,1470,1757,3227
Zvimba,Ward 03,2680,3065,5745
Zvimba,Ward 04,1259,1441,2700
Zvimba,Ward 05,1949,2219,4168
Zvimba,Ward 06,3284,3550,6834
Zvimba,Ward 07,2759,3093,5852
Zvimba,Ward 08,1823,2157,3980
Zvimba,Ward 09,2079,2397,4476
Zvimba,Ward 10,1120,1258,2378
Zvimba,Ward 11,1830,2067,3897
Zvimba,Ward 12,1743,1955,3698
Zvimba,Ward 13,8712,8554,17266
Zvimba,Ward 14,4482,4202,8684
Zvimba,Ward 15,8619,8339,16958
Zvimba,Ward 16,819,940,1759
Zvimba,Ward 17,7365,6898,14263
Zvimba,Ward 18,3906,3916,7822
Zvimba,Ward 19,5338,5212,10550
Zvimba,Ward 20,5881,6077,11958
Zvimba,Ward 21,6606,6716,13322
Zvimba,Ward 22,1891,2044,3935
Zvimba,Ward 23,4117,4592,8709
Zvimba,Ward 24,8820,8508,17328
Zvimba,Ward 25,5469,4974,10443
Zvimba,Ward 26,10939,10909,21848
Zvimba,Ward 27,1651,1559,3210
Zvimba,Ward 28,882,903,1785
Zvimba,Ward 29,1841,2036,3877
Zvimba,Ward 30,6616,6619,13235
Zvimba,Ward 31,4497,4408,8905
Zvimba,Ward 32,4594,4645,9239
Zvimba,Ward 33,4522,4611,9133
Zvimba,Ward 34,2921,2962,5883
Zvimba,Ward 35,37132,38676,75808
Zvimba,Total,172019,175981,347994
Sanyati,Ward 01,9924,8922,18846
Sanyati,Ward 02,6292,5940,12232
Sanyati,Ward 03,17722,16703,34425
Sanyati,Ward 04,5244,5215,10459
Sanyati,Ward 05,6886,6768,13654
Sanyati,Ward 06,1977,2125,4102
Sanyati,Ward 07,1289,1387,2676
Sanyati,Ward 08,1314,1428,2742
Sanyati,Ward 09,1174,1215,2389
Sanyati,Ward 10,2481,2741,5222
Sanyati,Ward 11,3126,3435,6561
Sanyati,Ward 12,3033,3180,6213
Sanyati,Ward 13,476,443,919
Sanyati,Ward 14,672,660,1332
Sanyati,Ward 15,460,428,888
Sanyati,Ward 16,3457,3474,6931
Sanyati,Ward 17,2722,2659,5381
Sanyati,Ward 18,1953,2308,4261
Sanyati,Total,70202,69031,139233
Chinhoyi Urban,Ward 01,716,840,1556
Chinhoyi Urban,Ward 02,2587,3005,5592
Chinhoyi Urban,Ward 03,2899,3470,6369
Chinhoyi Urban,Ward 04,4875,5382,10257
Chinhoyi Urban,Ward 05,3121,3525,6646
Chinhoyi Urban,Ward 06,1732,1903,3635
Chinhoyi Urban,Ward 07,2367,2783,5150
Chinhoyi Urban,Ward 08,3722,4321,8043
Chinhoyi Urban,Ward 09,2360,2527,4887
Chinhoyi Urban,Ward 10,1566,1699,3265
Chinhoyi Urban,Ward 11,1937,2120,4057
Chinhoyi Urban,Ward 12,3872,4494,8366
Chinhoyi Urban,Ward 13,12731,14728,27459
Chinhoyi Urban,Ward 14,2362,2637,4999
Chinhoyi Urban,Ward 15,1615,1775,3390
Chinhoyi Urban,Total,48462,55209,103671
Kadoma,Ward 01,5599,6370,11969
Kadoma,Ward 02,3765,4280,8045
Kadoma,Ward 03,3227,3568,6795
Kadoma,Ward 04,1563,1748,3311
Kadoma,Ward 05,1701,1940,3641
Kadoma,Ward 06,3004,3491,6495
Kadoma,Ward 07,1730,1927,3657
Kadoma,Ward 08,3600,4180,7780
Kadoma,Ward 09,1211,1240,2451
Kadoma,Ward 10,4895,5630,10525
Kadoma,Ward 11,2760,3158,5918
Kadoma,Ward 12,3190,3331,6521
Kadoma,Ward 13,6521,7469,13990
Kadoma,Ward 14,4342,4252,8594
Kadoma,Ward 15,2616,2707,5323
Kadoma,Ward 16,4261,4356,8617
Kadoma,Ward 17,1741,2007,3748
Kadoma,Total,55726,61654,117380
Chegutu Urban,Ward 01,585,503,1088
Chegutu Urban,Ward 02,1365,1525,2890
Chegutu Urban,Ward 03,3034,3632,6666
Chegutu Urban,Ward 04,1871,2116,3987
Chegutu Urban,Ward 05,854,845,1699
Chegutu Urban,Ward 06,1918,2095,4013
Chegutu Urban,Ward 07,2114,2275,4389
Chegutu Urban,Ward 08,1805,1927,3732
Chegutu Urban,Ward 09,1609,1756,3365
Chegutu Urban,Ward 10,2059,2311,4370
Chegutu Urban,Ward 11,3475,4014,7489
Chegutu Urban,Ward 12,10687,11883,22570
Chegutu Urban,Total,31376,34882,66258
Kariba Urban,Ward 01,2480,2737,5217
Kariba Urban,Ward 02,4674,4999,9673
Kariba Urban,Ward 03,2660,2656,5316
Kariba Urban,Ward 04,728,766,1494
Kariba Urban,Ward 05,901,900,1801
Kariba Urban,Ward 06,588,651,1239
Kariba Urban,Ward 07,510,473,983
Kariba Urban,Ward 08,478,440,918
Kariba Urban,Ward 09,669,599,1268
Kariba Urban,Total,13688,14221,27909
Norton,Ward 01,2258,2553,4811
Norton,Ward 02,1687,1716,3403
Norton,Ward 03,1649,1955,3604
Norton,Ward 04,4374,4865,9239
Norton,Ward 05,1330,1640,2970
Norton,Ward 06,1784,2044,3828
Norton,Ward 07,1869,2096,3965
Norton,Ward 08,1720,1904,3624
Norton,Ward 09,1517,1867,3384
Norton,Ward 10,1573,1803,3376
Norton,Ward 11,3091,3568,6659
Norton,Ward 12,12298,13664,25962
Norton,Ward 13,5852,6361,12213
Norton,Total,41002,46036,87038
Karoi,Ward 01,984,1260,2244
Karoi,Ward 02,475,554,1029
Karoi,Ward 03,896,1166,2062
Karoi,Ward 04,1236,1516,2752
Karoi,Ward 05,1256,1461,2717
Karoi,Ward 06,609,794,1403
Karoi,Ward 07,1675,1615,3290
Karoi,Ward 08,2287,2284,4571
Karoi,Ward 09,3006,3680,6686
Karoi,Ward 10,4941,5869,10810
Karoi,Total,17365,20199,37564
Matabeleland North,Total,400188,427438,827626
Binga,Ward 01,2049,2234,4283
Binga,Ward 02,2725,3532,6257
Binga,Ward 03,2036,2892,4928
Binga,Ward 04,1645,2157,3802
Binga,Ward 05,2297,2921,5218
Binga,Ward 06,2671,3494,6165
Binga,Ward 07,2730,3495,6225
Binga,Ward 08,2287,2841,5128
Binga,Ward 09,2445,3389,5834
Binga,Ward 10,1835,2631,4466
Binga,Ward 11,1631,2072,3703
Binga,Ward 12,1409,1841,3250
Binga,Ward 13,2154,2573,4727
Binga,Ward 14,4503,5285,9788
Binga,Ward 15,1717,2257,3974
Binga,Ward 16,4380,5140,9520
Binga,Ward 17,5865,6857,12722
Binga,Ward 18,2566,2950,5516
Binga,Ward 19,2752,3227,5979
Binga,Ward 20,2313,2850,5163
Binga,Ward 21,10315,11599,21914
Binga,Ward 22,1552,1822,3374
Binga,Ward 23,3389,4144,7533
Binga,Ward 24,3349,3218,6567
Binga,Ward 25,1778,2168,3946
Binga,Total,72393,87589,159982
Bubi,Ward 01,2276,1724,4000
Bubi,Ward 02,1576,1644,3220
Bubi,Ward 03,1729,1911,3640
Bubi,Ward 04,1708,1837,3545
Bubi,Ward 05,794,824,1618
