ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,province,district,Poverty rate
Shamva,ZW1207,Mashonaland Central,ZW12,Zimbabwe,ZW,Mashonaland Central,Shamva,81.3
Shurugwi,ZW1707,Midlands,ZW17,Zimbabwe,ZW,Midlands,Shurugwi Rural,67.7
Shurugwi Town,ZW1728,Midlands,ZW17,Zimbabwe,ZW,Midlands,Shurugwi Town,0
Tsholotsho,ZW1506,Matabeleland North,ZW15,Zimbabwe,ZW,Matabeleland North,Tsholotsho,67.4
Umguza,ZW1507,Matabeleland North,ZW15,Zimbabwe,ZW,Matabeleland North,Umguza,62.9
Umzingwane,ZW1607,Matabeleland South,ZW16,Zimbabwe,ZW,Mashonaland East,UMP,81
Uzumba Maramba Pfungwe,ZW1309,Mashonaland East,ZW13,Zimbabwe,ZW,Matabeleland South,Umzingwane,69.9
Victoria Falls,ZW1522,Matabeleland North,ZW15,Zimbabwe,ZW,Matabeleland North,Victoria Falls,41.5
Zaka,ZW1807,Masvingo,ZW18,Zimbabwe,ZW,Masvingo,Zaka,71.8
Zvimba,ZW1406,Mashonaland West,ZW14,Zimbabwe,ZW,Mashonaland West,Zwinba,87.2
Zvishavane,ZW1708,Midlands,ZW17,Zimbabwe,ZW,Midlands,Zvishavane Rural,59.5
Zvishavane Urban,ZW1725,Midlands,ZW17,Zimbabwe,ZW,Midlands,Zvishavane Urban,0
